error,mae,rmse,nrmse,rse,corr,data_corr,eb,eblc,data
0.0,0.0854528783318027,0.12123668130295898,0.06011071138743505,0.35026365931150377,0.9410208153805946,1.0,0.0,baseline,ettm1
0.0016700462438166142,0.08525521364947798,0.12075359033081634,0.05987118864820916,0.3488679661115209,0.9413050797889614,0.9999529123306274,0.01,sz,ettm1
0.0050307572819292545,0.08556983304879327,0.1208387499149427,0.05991341186917065,0.3491139997973738,0.9411535763197404,0.9995720982551575,0.03,sz,ettm1
0.008320721797645092,0.08673560075544645,0.12221333970883974,0.06059495123076519,0.35308531314980285,0.9396123613094662,0.9988387823104858,0.05,sz,ettm1
0.011922393925487995,0.08764228407679035,0.1227681235540108,0.06087002022177588,0.354688133497969,0.9388829252521894,0.9976375102996826,0.07,sz,ettm1
0.01698141358792782,0.09057581469371988,0.12592336162903772,0.06243442798391709,0.3638038996364054,0.9355762250698287,0.9953731894493103,0.1,sz,ettm1
0.023517534136772156,0.09654469305858714,0.1305517588038375,0.06472924704173649,0.3771757547034479,0.9319057320558922,0.9910992383956909,0.15,sz,ettm1
0.030747296288609505,0.09951454724770746,0.13468526445937282,0.0667786924967578,0.38911782373018616,0.9271164641748929,0.9848469495773315,0.2,sz,ettm1
0.041329674422740936,0.1070336630971257,0.14199763527947842,0.07040426032986989,0.41024391967875895,0.9206116831668183,0.9740981459617615,0.25,sz,ettm1
0.04461823031306267,0.10983759511198435,0.14542975915605563,0.07210595164617468,0.42015963376215804,0.9182700354965833,0.9723472595214844,0.3,sz,ettm1
0.07135508209466934,0.1422945759037133,0.18313154352305225,0.09079898295088866,0.5290834744103363,0.890445901683437,0.9488221406936646,0.4,sz,ettm1
0.08706273138523102,0.1566224252341481,0.20365099942964934,0.1009727940332492,0.5883660251671123,0.8769236419221955,0.9224156737327576,0.5,sz,ettm1
0.1295066922903061,0.2294689063946597,0.2820772507129693,0.13985754166428688,0.8149465077847005,0.8270771851121648,0.8905190229415894,0.65,sz,ettm1
0.21184146404266357,0.36665657142733377,0.4398167767196073,0.2180668345966925,1.2706701633925404,0.6382758693240741,0.8377548456192017,0.8,sz,ettm1
0.0013841731706634164,0.07846003178936278,0.11710239300615112,0.05806087788876931,0.3383193291638481,0.9434410855954093,0.9999675154685974,1.0,pmc,ettm1
0.004636908415704966,0.07770268091193606,0.11692406022579939,0.057972458194536225,0.3378041097471677,0.9437091096815479,0.9996352195739746,3.0,pmc,ettm1
0.0075174360536038876,0.07784932220481595,0.11715549189050446,0.05808720500097706,0.33847273660901306,0.9434804755435252,0.9990411400794983,5.0,pmc,ettm1
0.009971210733056068,0.07803313557717745,0.11751893157977462,0.058267403089820036,0.3395227465081186,0.9432918360566657,0.9983124732971191,7.0,pmc,ettm1
0.013367000967264175,0.07778132206346705,0.11771086102781204,0.058362564187383385,0.3400772479187208,0.9435875625609516,0.9969651699066162,10.0,pmc,ettm1
0.019534436985850334,0.07823733333953109,0.11891606859983311,0.05896012165716165,0.3435592008216639,0.9419135300837826,0.9935076236724854,15.0,pmc,ettm1
